"all questions"	"definition"
"pst_art_abacavir"	" If Yes, indicate the combination and duration of treatment for each: abacavir"
"pst_art_stavudine"	" If Yes, indicate the combination and duration of treatment for each: stavudine"
"TB"	"Have you ever been diagnosed with Tuberculosis TB"
"crypt_mening"	"Have you ever been diagnosed with Cryptococcal meningitis"
"bact_mening"	"Have you ever been diagnosed with Bacterial meningitis"
"herp_zoster"	"Have you ever been diagnosed with Herpes zoster"
"kap_sarcoma"	"Have you ever been diagnosed with Kaposi sarcoma"
"oral_oes_candid"	"Have you ever been diagnosed with Oral or oesophageal candidiasis"
"pneum_pcp_pjp"	"Have you ever been diagnosed with Pneumocystis carinii pneumonia (PCP)/Pneumocystis jiroveci pneumonia (PJP)"
"diarrhoea"	"Have you ever been diagnosed with Diarrhoea (2 or more loose stools per day), for 2 weeks or more?"
"fever"	"Have you ever been diagnosed with Fever (temperature higher than 37.7 deg C), for 2 weeks or more?"
"enlargd_lymph_groin"	"Have you ever been diagnosed with Tender or enlarged lymph nodes for in your groin for 2 weeks or more?"
"sexually_active"	"Have you ever had sexual intercourse?"
"sexual_debut"	"How old were you when you first had sexual Intercourse?"
"num_sex_prtnrs"	"How many different sexual partners have you had in your lifetime?"
"sexhist_prtnr_1"	"How many different sexual partners has your partner had in their lifetime?: 1"
"sexhist_prtnr_2_4"	"How many different sexual partners has your partner had in their lifetime?:  2-4"
"sexhist_prtnr_5_9"	"How many different sexual partners has your partner had in their lifetime?:  5-9"
"sexhist_prtnr_10_19"	"How many different sexual partners has your partner had in their lifetime?: 10-19"
"sexhist_prtnr_20"	"How many different sexual partners has your partner had in their lifetime?: 20"
"sexhist_prtnr_nk"	"you do not know how many sexual partnes has your partner had"
"condom_use"	"Which statement best describes how you use condoms during sexual intercourse?"
"sti_history"	"Have you ever been diagnosed with a sexually transmitted infection (STI)"
"sti_freq"	"How many times have you been diagnosed with a sexually transmitted infection (STI) "
"sti_syphillis"	"you been diagnosed with Syphillis"
"sti_gonorrhoea"	"you been diagnosed with Gonorrhoea"
"sti_herpes"	"you been diagnosed with Herpes"
"sti_chlamydia"	"you been diagnosed with Chlamydia"
"sti_tvag"	"you been diagnosed with Trachomonas Vaginalis"
"sti_other"	"you been diagnosed with an other STI"
"viac_hist_pos"	"Have you ever had a positive VIAC Result?"
"colpo_ever"	"Have you ever been referred for colposcopy Exam?"
"cin_dx_hist"	"Have you ever been diagnosed with cervical intraepithelial neoplasia (CIN) 2/3?"
"cin_tnt_leep"	"After being diagnosed with cervical intraepithelial neoplasia (CIN) 2/3,  which treatment receive: leep"
"cin_tnt_cryo"	"After being diagnosed with cervical intraepithelial neoplasia (CIN) 2/3,  which treatment receive: Cryotherapy"
"cin_tnt_other"	"After being diagnosed with cervical intraepithelial neoplasia (CIN) 2/3,  which treatment receive: Other"
"hist_cacx"	"Have you ever been diagnosed with cervical Cancer? "
"cacx_tnt_surgery"	"What treatment did you undergo for the cervical cancer? Surgery"
"cacx_tnt_radio"	"What treatment did you undergo for the cervical cancer? Radiotherapy"
"cacx_tnt_chemo"	"What treatment did you undergo for the cervical cancer? Chemotherapy"
"cacx_tnt_abdhiste"	"What treatment did you undergo for the cervical cancer? Total Abdominal Hysterectomy"
"cacx_tnt_notnt"	"What treatment did you undergo for the cervical cancer? Not treated"
